?? Daily Reporting Structure – Supply Chain Manager,,,,,,,,,,,
,,,,,,,,,,,
Date,16-Jun-25,,,,,,,,,,
1. Production Plan vs. Actual (Stitching) (Last 6 days),,,,,,,,,,,
Date,Planned Qty,Actual Qty,Variance,Reason for Variance,,,,,,,
10-Jun-2025,800,936,136,2 Lines loading,,,,,,,
11-Jun-2025,800,1180,380,2 Lines loading/material issue,,,,,,,
12-Jun-2025,800,650,-150,Loading end/feeding issue,,,,,,,
13-Jun-2025,2000,0,-2000,FEEDING ISSUE FROM CUTTING,,,,,,,
14-Jun-2025,2000,0,-2000,FEEDING ISSUE FROM CUTTING,,,,,,,
16-Jun-2025,2000,393,-1607,FEEDING ISSUE FROM CUTTING,,,,,,,
Total,8400,3159,-5241,,,,,,,,
2. CRP – Capacity Planning Status,,,,,,,,,,,
Department,"Capacity
(Pairs)","Planned Load 
(Pairs)",Actual Prod.,Capacity Utilization %,MTD,,,,,,
Cutting,3000,1823,1800,60%,8763,,,,,,
Stitching,2788,0,393,14%,7974,,,,,,
Lasting,3462,0,0,0%,12100,,,,,,
Injection (PU),,,,,,,,,,,
,,,,,,,,,,,
3. MRP – Material Availability Summary,,,,,,,,,,,
Order #,Material Ordered (Y/N),Available (Y/N),Remarks,,,,,,,,
673,Yes,Yes,,,,,,,,,
675,Yes,Yes,,,,,,,,,
677,Yes,Yes,,,,,,,,,
679,NO,NO,,,,,,,,,
680,Yes,NO,,,,,,,,,
681,NO,NO,,,,,,,,,
4. Procurement Status (LOCAL),,,,,,,,,,,
,MTD PO (Count),Amount (Rs),Remarks,,,,,,,,
Total PO Issued,92,114.77 M,,,,,,,,,
Total PO Recevied,56,96.84 M,,,,,,,,,
Total PO Pending,36,17.93 M,,,,,,,,,
,,,,,,,,,,,
5. Import Status,,,,,,,,,,,
PI Status,,MRD Status,,ETA Status,,,,,,,
,Count (#),,Count (#),,Count (#),,,,,,
Total Imports,12,Total Imports,12,Total Imports,12,,,,,,
PI Received,12,MRD Received,10,ETA Received,10,,,,,,
PI Approved,12,MRD Pending,2,ETA Pending,2,,,,,,
PI Pending,0,,,,,,,,,,
Advance Payment Status,,Forwarding Status,,Shipment Arrival Month,,,,,,,
,Count (#),,Count (#),Month,Count (#),,,,,,
Payment Done,3,Done,10,May,1,,,,,,
Payment Pending,4,Not Done,2,June,8,,,,,,
Total ,7,Total ,12,July,1,,,,,,
,,,,,,,,,,,
,,,,,10,,,,,,
6. Vendor Meeting (Weekly),,,,,,,,,,,
,W-1,W-2,W-3,W-4,Total,,,,,,
Planned Meeting,1,0,1,0,2,,,,,,
Done Meeting,1,,,,1,,,,,,
7. Warehouse,,,,,,,,,,,
GRN Status,,BIN Card Status,,FG Status,,,,,,,
,Count (#),,Count (#),,Pairs,,,,,,
Total GRN,4,Total BIN Card,403,Elten,"1,090",,,,,,
GRN Done,4,0,403,Bata,0,,,,,,
GRN Pending,0,Pending,0,S-Step,"1,500",,,,,,
,,,,Toal,"2,590",,,,,,
,,,,,,,,,,,
Rejected Material,,,,,,,,,,,
Debit Note Status,,Materail Lifted Status,,Replacement  Status,,,,,,,
,Count (#),,Count (#),,Count (#),,,,,,
Total,0,Total Vendors,0,Total Vendors Material,1,,,,,,
DONE,0,Lifted Done,0,Receiving Done,0,,,,,,
Pending,0,Pending,0,Pending,1,,,,,,
,,,,,,,,,,,
Inventory Audit (System vs Physical ),,,,,,,,,,,
Category,Total Items,Total Checked Item,Matched  (Y/N),Matched %,,,,,,,
Leather,42,0,Y,100%,,,,,,,
Linings,89,0,Y,100%,,,,,,,
Foam,13,0,Y,100%,,,,,,,
Insole,17,0,Y,100%,,,,,,,
Packing,19,0,Y,100%,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Extra Stock Lift from Production,,Without PO receiving,,,,,,,,,
Actions:,Status (Y/N),# of PO (Vendor),,,,,,,,,
Department,N/A,,,,,,,,,,
List Prepared,,Remarks: (Why without PO),,,,,,,,,
List Approved,,,,,,,,,,,
Enter in ERP,,,,,,,,,,,
Adjustment Verified,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Monthly Checklist,,,Comments: (if any),,,,,,,,
Activity,Develop (Y/N),Approved (Y/N),,,,,,,,,
Dispatch Plan ,Y,Y,,,,,,,,,
Production Plan,Y,Y,,,,,,,,,
Cutting Plan ,Y,--,,,,,,,,,
Line Loading Plan ,Y,Y,,,,,,,,,
Day wise Plan (Stitching),Y,--,,,,,,,,,
Lasting Plan ,Y,--,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
